Date,Open,High,Low,Close,Adj Close,Volume
2017-10-11,0.260658,0.267843,0.259080,0.264439,0.264439,161206000
2017-10-12,0.265046,0.267468,0.248414,0.248414,0.248414,245004000
2017-10-13,0.248285,0.264250,0.238867,0.260489,0.260489,398688992
2017-10-14,0.261150,0.267721,0.257320,0.257320,0.257320,211160000
2017-10-15,0.257537,0.268419,0.249048,0.263983,0.263983,280211008
2017-10-16,0.263386,0.291359,0.249010,0.256232,0.256232,963158016
2017-10-17,0.256098,0.263147,0.222939,0.232064,0.232064,411264992
2017-10-18,0.231216,0.238150,0.207265,0.218520,0.218520,354224992
2017-10-19,0.218229,0.231790,0.208317,0.215150,0.215150,304542016
2017-10-20,0.215086,0.223822,0.208754,0.210549,0.210549,182704000
2017-10-21,0.210189,0.212381,0.200774,0.211016,0.211016,116807000
2017-10-22,0.210958,0.211901,0.200722,0.204177,0.204177,75849504
2017-10-23,0.203504,0.203919,0.190729,0.196928,0.196928,99914800
2017-10-24,0.195567,0.217508,0.190455,0.206644,0.206644,220080992
2017-10-25,0.207113,0.208237,0.201803,0.204604,0.204604,75017504
2017-10-26,0.204444,0.206289,0.202660,0.203628,0.203628,38193100
2017-10-27,0.203668,0.204492,0.201771,0.202785,0.202785,29623000
2017-10-28,0.202592,0.203476,0.201401,0.201835,0.201835,26864900
2017-10-29,0.201358,0.205209,0.200075,0.202785,0.202785,62511100
2017-10-30,0.203076,0.204135,0.201946,0.202711,0.202711,34835100
2017-10-31,0.202405,0.203778,0.200461,0.200558,0.200558,43875700
2017-11-01,0.200247,0.201501,0.193613,0.194124,0.194124,67921000
2017-11-02,0.194596,0.211848,0.183815,0.205861,0.205861,197770000
2017-11-03,0.206205,0.228026,0.201728,0.208133,0.208133,373401984
2017-11-04,0.208083,0.208479,0.202133,0.203750,0.203750,74013200
2017-11-05,0.203274,0.205124,0.201117,0.202055,0.202055,46959000
2017-11-06,0.201967,0.208662,0.201410,0.205990,0.205990,102233000
2017-11-07,0.205103,0.211375,0.203978,0.210354,0.210354,114073000
2017-11-08,0.210675,0.221458,0.208060,0.217437,0.217437,156959008
2017-11-09,0.217911,0.221791,0.214866,0.217488,0.217488,147916992
2017-11-10,0.218256,0.219068,0.205260,0.206483,0.206483,141032992
2017-11-11,0.205948,0.214456,0.205459,0.210430,0.210430,134503008
2017-11-12,0.210214,0.210214,0.195389,0.197339,0.197339,251175008
2017-11-13,0.197472,0.204081,0.197456,0.203442,0.203442,132567000
2017-11-14,0.203679,0.213693,0.203679,0.209825,0.209825,127361000
2017-11-15,0.208937,0.213105,0.208058,0.212956,0.212956,100294000
2017-11-16,0.212655,0.271790,0.209287,0.227107,0.227107,1022579968
2017-11-17,0.224768,0.239409,0.220273,0.226581,0.226581,397071008
2017-11-18,0.226547,0.230399,0.222399,0.228627,0.228627,144298000
2017-11-19,0.228140,0.236231,0.226037,0.231016,0.231016,193808000
2017-11-20,0.231336,0.243430,0.230917,0.238759,0.238759,214663008
2017-11-21,0.237978,0.240974,0.227200,0.233271,0.233271,217851008
2017-11-22,0.232642,0.240848,0.232317,0.238859,0.238859,167078000
2017-11-23,0.238991,0.250096,0.237304,0.242402,0.242402,240684992
2017-11-24,0.242851,0.245388,0.238421,0.244642,0.244642,211486000
2017-11-25,0.244178,0.255700,0.243584,0.252393,0.252393,212592992
2017-11-26,0.252914,0.252914,0.248589,0.248818,0.248818,133297000
2017-11-27,0.248305,0.254733,0.247861,0.253927,0.253927,196735008
2017-11-28,0.254037,0.301084,0.253415,0.299152,0.299152,720742976
2017-11-29,0.297867,0.297867,0.239409,0.243064,0.243064,541177984
2017-11-30,0.246433,0.261524,0.229586,0.250878,0.250878,270907008
2017-12-01,0.250352,0.258828,0.239438,0.255699,0.255699,182992000
2017-12-02,0.255656,0.259218,0.250756,0.255492,0.255492,118250000
2017-12-03,0.255530,0.263072,0.247391,0.252558,0.252558,134710000
2017-12-04,0.252919,0.255362,0.247160,0.253571,0.253571,104650000
2017-12-05,0.253598,0.253988,0.245234,0.246101,0.246101,174591008
2017-12-06,0.245416,0.245705,0.227742,0.232544,0.232544,274526016
2017-12-07,0.232623,0.233760,0.221340,0.222823,0.222823,275204992
2017-12-08,0.223636,0.278673,0.222168,0.252125,0.252125,660172032
2017-12-09,0.252162,0.255684,0.240073,0.244708,0.244708,205288992
2017-12-10,0.245548,0.245548,0.229304,0.237333,0.237333,198174000
2017-12-11,0.236574,0.252777,0.235804,0.251691,0.251691,176100992
